Rk,Player,Club,MP,Min,MinPerMatch
456,Bamba Dieng,1.fr Lorient,1.0,8.0,8.0
457,El Hadji Malick Diouf,1.eng West Ham,3.0,171.0,57.0
459,Idrissa Gueye,1.eng Everton,4.0,361.0,90.0
460,Pape Gueye,1.es Villarreal,4.0,234.0,58.5
461,Nicolas Jackson,1.de Bayern Munich,4.0,234.0,58.5
462,Ismail Jakobs,1.tr Galatasaray,3.0,219.0,73.0
463,Kalidou Koulibaly,1.sa Al-Hilal,2.0,161.0,80.5
464,Sadio Mané,1.sa Al-Nassr,4.0,362.0,90.0
465,Pape Matar Sarr,1.eng Tottenham,2.0,67.0,33.5
466,Ibrahim Mbaye,1.fr PSG,4.0,157.0,39.25
468,Édouard Mendy,1.sa Al-Ahli,2.0,152.0,76.0
470,Iliman Ndiaye,1.eng Everton,3.0,114.0,38.0
471,Moussa Niakhaté,1.fr Lyon,4.0,390.0,90.0
472,Bara Sapoko Ndiaye,1.de Bayern Munich,1.0,26.0,26.0
473,Ismaila Sarr,1.eng Crystal Palace,4.0,364.0,90.0
475,Abdoulaye Seck,1.il Maccabi Haifa,1.0,57.0,57.0
477,Rayan Aït-Nouri,1.eng Manchester City,4.0,284.0,71.0
479,Mohamed Amoura,1.de Wolfsburg,1.0,27.0,27.0
480,Houssem Aouar,1.sa Al-Ittihad,3.0,173.0,57.666666666666664
481,Zineddine Belaïd,1.dz JS Kabylie,2.0,25.0,12.5
482,Rafik Belghali,1.it Hellas Verona,4.0,331.0,82.75
483,Oussama Benbot,1.dz USM Alger,1.0,90.0,90.0
484,Nadhir Benbouali,1.hu Győr,1.0,45.0,45.0
485,Ramy Bensebaini,1.de Dortmund,4.0,360.0,90.0
486,Nabil Bentaleb,1.fr Lille,4.0,285.0,71.25
487,Hicham Boudaoui,1.fr Nice,3.0,128.0,42.666666666666664
488,Adil Boulbina,1.qa Al Duhail SC,2.0,19.0,9.5
489,Fares Chaïbi,1.de Frankfurt,4.0,360.0,90.0
490,Samir Chergui,1.fr Paris FC,1.0,20.0,20.0
491,Farés Ghedjemis,2.it Frosinone,1.0,1.0,1.0
492,Amine Gouiri,1.fr Marseille,4.0,251.0,62.75
493,Anis Hadj Moussa,1.nl Feyenoord,3.0,98.0,32.666666666666664
494,Jaouen Hadjam,1.ch Young Boys,3.0,109.0,36.333333333333336
